Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1774335602	XAUUSD	M15	4424.96	4518.59282	4596.05595	4755.40355	4792.76972																				4416.81592	4416.81592	0
1774336502	XAUUSD	M15	4412.51	4518.59282	4596.05595	4755.40355	4792.76972																				4413.55530	4415.18561	1
1774337402	XAUUSD	M15	4408.91	4518.59282	4596.05595	4755.40355	4792.76972																				4411.74850	4413.46706	0
1774338302	XAUUSD	M15	4417.89	4518.59282	4596.05595	4755.40355	4792.76972																				4410.52070	4411.99388	0
1774339202	XAUUSD	M15	4414.58	4518.59282	4596.05595	4755.40355	4792.76972																				4408.59410	4410.29399	0
1774340102	XAUUSD	M15	4396.70	4518.59282	4596.05595	4755.40355	4792.76972																				4406.52538	4408.40968	0
1774341002	XAUUSD	M15	4400.55	4518.59282	4596.05595	4755.40355	4792.76972																				4405.83718	4407.12343	0
1774341902	XAUUSD	M15	4412.06	4518.59282	4596.05595	4755.40355	4792.76972																				4406.18977	4406.65660	0
1774342802	XAUUSD	M15	4399.14	4518.59282	4596.05595	4755.40355	4792.76972																				4407.13616	4406.89638	1
1774343702	XAUUSD	M15	4407.31	4518.59282	4596.05595	4755.40355	4792.76972																				4409.52962	4408.21300	0
