zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1789082401	XAUUSD	M5	4318.27000	Peak	4320.49000	6.68000	0.15	0	8	0	0.83500	0	39.8619	LH
1789084501	XAUUSD	M5	4315.19000	Bottom	4311.27000	-9.22000	-0.21	3	7	3	-1.31714	3	-52.7935	LL
1789088401	XAUUSD	M5	4340.42000	Peak	4340.49000	29.22000	0.68	0	13	0	2.24769	0	66.0157	HH
1789098601	XAUUSD	M5	4304.21000	Bottom	4300.88000	-39.61000	-0.91	3	34	4	-1.16500	3	-49.3582	LL
1789107001	XAUUSD	M5	4359.03000	Peak	4360.76000	59.88000	1.39	2	28	0	2.13857	0	64.9391	HH
1789113001	XAUUSD	M5	4342.65000	Bottom	4340.57000	-20.19000	-0.46	3	20	3	-1.00950	3	-45.2709	HL
1789114801	XAUUSD	M5	4352.31000	Peak	4357.46000	16.89000	0.39	0	6	0	2.81500	0	70.4429	LH
1789119601	XAUUSD	M5	4343.48000	Bottom	4340.89000	-16.57000	-0.38	3	16	3	-1.03562	3	-46.0026	HL
1789122301	XAUUSD	M5	4349.22000	Peak	4349.98000	9.09000	0.21	0	9	0	1.01000	0	45.2851	LH
1789128601	XAUUSD	M5	4327.76000	Bottom	4324.98000	-25.00000	-0.57	3	21	3	-1.19048	3	-49.9697	LL
1789129501	XAUUSD	M5	4341.27000	Peak	4343.21000	18.23000	0.42	0	3	0	6.07667	1	80.6549	LH
1789129801	XAUUSD	M5	4329.90000	Bottom	4292.06000	-51.15000	-1.18	4	1	3	-51.15000	5	-88.8800	LL
1789135201	XAUUSD	M5	4390.39000	Peak	4402.51000	110.45000	2.57	2	18	0	6.13611	0	80.7439	HH
1789143601	XAUUSD	M5	4353.03000	Bottom	4351.95000	-50.56000	-1.15	3	28	3	-1.80571	3	-61.0224	HL
1789147801	XAUUSD	M5	4369.06000	Peak	4370.43000	18.48000	0.42	0	14	0	1.32000	0	52.8533	LH
1789150801	XAUUSD	M5	4349.04000	Bottom	4344.28000	-26.15000	-0.60	3	10	3	-2.61500	3	-69.0727	LL
1789154101	XAUUSD	M5	4349.50000	Peak	4353.68000	9.40000	0.22	0	11	0	0.85455	0	40.5154	LH
1789338001	XAUUSD	M5	4329.14000	Bottom	4328.31000	-25.37000	-0.58	3	25	3	-1.01480	3	-45.4209	LL
1789341001	XAUUSD	M5	4339.60000	Peak	4342.44000	14.13000	0.33	0	10	0	1.41300	0	54.7124	LH
1789344001	XAUUSD	M5	4333.74000	Bottom	4329.88000	-12.56000	-0.29	3	10	3	-1.25600	3	-51.4740	HL
1789344601	XAUUSD	M5	4342.68000	Peak	4347.51000	17.63000	0.41	0	2	0	8.81500	0	83.5279	HH
1789348801	XAUUSD	M5	4335.07000	Bottom	4326.31000	-21.20000	-0.49	3	14	3	-1.51429	3	-56.5601	LL
1789353001	XAUUSD	M5	4354.39000	Peak	4355.34000	29.03000	0.67	0	14	0	2.07357	0	64.2539	HH
1789361101	XAUUSD	M5	4324.93000	Bottom	4322.17000	-33.17000	-0.76	3	27	3	-1.22852	3	-50.8548	LL
