timestamp	symbol	timeframe	close	tema	hrma	smma
1772024999	XAUUSD	M5	5187.20	5186.65	5185.18	5181.39
1772025299	XAUUSD	M5	5187.00	5187.40	5185.92	5181.56
1772025599	XAUUSD	M5	5191.13	5188.81	5186.82	5181.75
1772025899	XAUUSD	M5	5188.07	5189.24	5187.61	5181.96
1772026199	XAUUSD	M5	5188.16	5189.22	5188.22	5182.14
1772026499	XAUUSD	M5	5189.61	5189.54	5188.77	5182.33
1772026799	XAUUSD	M5	5186.84	5188.45	5188.96	5182.49
1772027099	XAUUSD	M5	5186.59	5188.21	5189.06	5182.62
1772027399	XAUUSD	M5	5186.07	5187.12	5188.89	5182.74
1772027699	XAUUSD	M5	5185.23	5186.52	5188.62	5182.83
1772027999	XAUUSD	M5	5187.18	5186.12	5188.32	5182.92
1772028299	XAUUSD	M5	5189.99	5187.43	5188.38	5183.05
1772028599	XAUUSD	M5	5185.44	5186.91	5188.28	5183.19
1772028899	XAUUSD	M5	5182.68	5185.16	5187.78	5183.24
1772029199	XAUUSD	M5	5181.49	5183.42	5186.99	5183.23
1772029499	XAUUSD	M5	5177.91	5180.51	5185.69	5183.15
1772029799	XAUUSD	M5	5174.14	5177.47	5183.98	5182.98
1772030099	XAUUSD	M5	5159.73	5170.31	5180.99	5182.63
1772030399	XAUUSD	M5	5174.91	5168.61	5178.28	5182.21
1772030699	XAUUSD	M5	5181.79	5172.29	5176.99	5182.01
1772030999	XAUUSD	M5	5188.55	5177.99	5177.22	5182.02
1772031299	XAUUSD	M5	5191.25	5184.16	5178.72	5182.20
1772031599	XAUUSD	M5	5198.64	5191.06	5181.39	5182.52
1772031899	XAUUSD	M5	5195.89	5195.85	5184.50	5182.94
1772032199	XAUUSD	M5	5193.17	5196.35	5187.00	5183.29
1772032499	XAUUSD	M5	5188.97	5195.30	5188.73	5183.54
1772032799	XAUUSD	M5	5185.46	5192.39	5189.46	5183.69
1772033099	XAUUSD	M5	5180.33	5187.25	5188.92	5183.69
1772033399	XAUUSD	M5	5181.68	5183.16	5187.65	5183.58
1772033699	XAUUSD	M5	5187.95	5184.09	5186.95	5183.55
1772033999	XAUUSD	M5	5191.00	5186.75	5187.04	5183.68
1772034299	XAUUSD	M5	5197.90	5190.43	5187.95	5183.92
1772034599	XAUUSD	M5	5195.48	5193.26	5189.28	5184.23
1772034899	XAUUSD	M5	5194.50	5194.92	5190.67	5184.54
1772035199	XAUUSD	M5	5194.37	5195.86	5191.97	5184.83
1772035499	XAUUSD	M5	5191.37	5194.90	5192.75	5185.08
1772035799	XAUUSD	M5	5192.52	5194.33	5193.26	5185.29
1772036099	XAUUSD	M5	5197.05	5195.23	5193.89	5185.54
1772036399	XAUUSD	M5	5205.29	5199.23	5195.31	5185.91
1772036699	XAUUSD	M5	5203.22	5202.09	5197.07	5186.39
1772036999	XAUUSD	M5	5206.56	5204.05	5198.89	5186.88
1772037299	XAUUSD	M5	5203.39	5205.20	5200.57	5187.36
1772037599	XAUUSD	M5	5207.51	5206.64	5202.23	5187.86
