timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1772024998	XAUUSD	M5	5187.20	5188.55	5184.29
1772025298	XAUUSD	M5	5187.00	5189.36	5185.43
1772025598	XAUUSD	M5	5191.13	5190.73	5186.16
1772025898	XAUUSD	M5	5188.07	5191.47	5186.92
1772026198	XAUUSD	M5	5188.16	5191.36	5187.17
1772026498	XAUUSD	M5	5189.61	5191.20	5187.78
1772026798	XAUUSD	M5	5186.84	5191.50	5185.31
1772027098	XAUUSD	M5	5186.59	5191.53	5185.45
1772027398	XAUUSD	M5	5186.07	5189.69	5184.86
1772027698	XAUUSD	M5	5185.23	5189.01	5184.70
1772027998	XAUUSD	M5	5187.18	5188.01	5184.11
1772028298	XAUUSD	M5	5189.99	5189.22	5185.22
1772028598	XAUUSD	M5	5185.44	5189.63	5184.42
1772028898	XAUUSD	M5	5182.68	5187.79	5183.11
1772029198	XAUUSD	M5	5181.49	5186.30	5181.25
1772029498	XAUUSD	M5	5177.91	5184.05	5177.67
1772029798	XAUUSD	M5	5174.14	5182.00	5174.18
1772030098	XAUUSD	M5	5159.73	5178.23	5165.63
1772030398	XAUUSD	M5	5174.91	5176.18	5160.77
1772030698	XAUUSD	M5	5181.79	5177.79	5165.36
1772030998	XAUUSD	M5	5188.55	5182.51	5171.16
1772031298	XAUUSD	M5	5191.25	5187.67	5178.91
1772031598	XAUUSD	M5	5198.64	5194.91	5185.26
1772031898	XAUUSD	M5	5195.89	5199.99	5191.55
1772032198	XAUUSD	M5	5193.17	5199.88	5192.84
1772032498	XAUUSD	M5	5188.97	5199.27	5192.40
1772032798	XAUUSD	M5	5185.46	5196.56	5189.65
1772033098	XAUUSD	M5	5180.33	5192.60	5182.92
1772033398	XAUUSD	M5	5181.68	5187.93	5177.74
1772033698	XAUUSD	M5	5187.95	5188.16	5178.73
1772033998	XAUUSD	M5	5191.00	5190.12	5182.22
1772034298	XAUUSD	M5	5197.90	5193.98	5184.44
1772034598	XAUUSD	M5	5195.48	5196.26	5188.72
1772034898	XAUUSD	M5	5194.50	5197.66	5191.68
1772035198	XAUUSD	M5	5194.37	5198.64	5193.31
1772035498	XAUUSD	M5	5191.37	5197.62	5192.90
1772035798	XAUUSD	M5	5192.52	5197.12	5192.18
1772036098	XAUUSD	M5	5197.05	5197.62	5192.54
1772036398	XAUUSD	M5	5205.29	5201.83	5195.21
1772036698	XAUUSD	M5	5203.22	5204.64	5198.82
1772036998	XAUUSD	M5	5206.56	5206.52	5200.03
1772037298	XAUUSD	M5	5203.39	5207.76	5202.19
1772037598	XAUUSD	M5	5207.51	5208.57	5203.85
1772037898	XAUUSD	M5	5208.18	5211.97	5206.31
1772038198	XAUUSD	M5	5211.95	5213.31	5208.06
1772038498	XAUUSD	M5	5212.31	5214.09	5210.20
1772038798	XAUUSD	M5	5210.09	5214.33	5210.36
1772039098	XAUUSD	M5	5214.69	5215.41	5210.13
1772039398	XAUUSD	M5	5215.17	5217.23	5212.83
1772039698	XAUUSD	M5	5214.53	5217.08	5213.36
1772039998	XAUUSD	M5	5213.27	5217.00	5213.19
1772040298	XAUUSD	M5	5213.10	5216.96	5213.30
1772040598	XAUUSD	M5	5211.85	5216.06	5212.65
1772040898	XAUUSD	M5	5213.17	5214.93	5211.76
1772041198	XAUUSD	M5	5208.33	5214.32	5210.07
1772041498	XAUUSD	M5	5206.71	5211.58	5207.11
1772041798	XAUUSD	M5	5206.32	5210.65	5205.47
1772042098	XAUUSD	M5	5206.82	5208.82	5203.78
1772042398	XAUUSD	M5	5207.40	5207.44	5204.45
1772042698	XAUUSD	M5	5207.07	5206.70	5205.07
1772042998	XAUUSD	M5	5206.89	5206.14	5205.39
1772043298	XAUUSD	M5	5206.80	5205.98	5205.65
1772043598	XAUUSD	M5	5206.77	5205.98	5205.87
1772043898	XAUUSD	M5	5206.80	5205.96	5206.01
1772044198	XAUUSD	M5	5206.80	5206.16	5206.18
1772044498	XAUUSD	M5	5206.39	5206.12	5205.88
1772044798	XAUUSD	M5	5205.13	5206.06	5205.26
1772045098	XAUUSD	M5	5200.95	5205.48	5202.83
1772045398	XAUUSD	M5	5202.58	5204.48	5201.39
1772045698	XAUUSD	M5	5202.12	5203.69	5200.75
1772045998	XAUUSD	M5	5200.91	5202.86	5200.28
1772046298	XAUUSD	M5	5194.29	5201.64	5196.74
1772046598	XAUUSD	M5	5207.04	5204.21	5193.42
1772046898	XAUUSD	M5	5200.55	5205.60	5195.76
1772047198	XAUUSD	M5	5197.32	5203.28	5194.42
1772047498	XAUUSD	M5	5202.59	5202.85	5193.58
1772047798	XAUUSD	M5	5202.51	5203.48	5195.88
1772048098	XAUUSD	M5	5201.00	5204.79	5198.05
1772048398	XAUUSD	M5	5204.32	5205.07	5199.42
1772048698	XAUUSD	M5	5205.00	5206.44	5200.09
1772048998	XAUUSD	M5	5204.97	5207.64	5200.65
1772049298	XAUUSD	M5	5204.87	5207.99	5202.43
1772049598	XAUUSD	M5	5201.76	5207.03	5200.20
1772049898	XAUUSD	M5	5202.46	5206.64	5200.75
1772050198	XAUUSD	M5	5195.27	5206.49	5198.26
1772050498	XAUUSD	M5	5184.80	5201.63	5190.97
1772050798	XAUUSD	M5	5189.00	5194.99	5186.28
1772051098	XAUUSD	M5	5186.11	5192.99	5184.69
1772051398	XAUUSD	M5	5188.12	5190.59	5181.40
1772051698	XAUUSD	M5	5183.41	5188.25	5179.86
1772051998	XAUUSD	M5	5181.48	5184.90	5177.27
1772052298	XAUUSD	M5	5173.57	5181.71	5170.94
1772052598	XAUUSD	M5	5178.01	5179.52	5169.62
