timestamp	symbol	timeframe	close	open	high	low	volume
1772024998	XAUUSD	M5	5187.20	5188.44	5189.22	5185.50	567
1772025298	XAUUSD	M5	5187.00	5187.22	5189.54	5185.97	574
1772025598	XAUUSD	M5	5191.13	5186.81	5191.47	5186.14	583
1772025898	XAUUSD	M5	5188.07	5191.14	5191.36	5186.93	547
1772026198	XAUUSD	M5	5188.16	5188.07	5190.35	5186.62	516
1772026498	XAUUSD	M5	5189.61	5188.16	5190.35	5187.73	524
1772026798	XAUUSD	M5	5186.84	5189.93	5191.33	5182.03	660
1772027098	XAUUSD	M5	5186.59	5187.12	5191.12	5185.65	585
1772027398	XAUUSD	M5	5186.07	5187.03	5187.42	5184.30	628
1772027698	XAUUSD	M5	5185.23	5186.04	5188.50	5184.76	572
1772027998	XAUUSD	M5	5187.18	5185.22	5187.34	5183.76	641
1772028298	XAUUSD	M5	5189.99	5187.18	5191.07	5186.80	582
1772028598	XAUUSD	M5	5185.44	5190.08	5190.31	5183.69	596
1772028898	XAUUSD	M5	5182.68	5185.41	5185.98	5182.03	592
1772029198	XAUUSD	M5	5181.49	5182.68	5185.32	5179.91	604
1772029498	XAUUSD	M5	5177.91	5181.60	5182.56	5174.89	657
1772029798	XAUUSD	M5	5174.14	5177.81	5181.14	5172.20	902
1772030098	XAUUSD	M5	5159.73	5174.16	5175.86	5158.94	925
1772030398	XAUUSD	M5	5174.91	5160.17	5176.28	5159.65	902
1772030698	XAUUSD	M5	5181.79	5174.98	5181.86	5174.68	804
1772030998	XAUUSD	M5	5188.55	5181.79	5189.06	5179.90	821
1772031298	XAUUSD	M5	5191.25	5188.57	5193.27	5187.84	743
1772031598	XAUUSD	M5	5198.64	5191.24	5201.38	5190.66	829
1772031898	XAUUSD	M5	5195.89	5198.64	5202.61	5195.49	813
1772032198	XAUUSD	M5	5193.17	5196.09	5196.22	5190.40	835
1772032498	XAUUSD	M5	5188.97	5193.17	5195.68	5188.40	744
1772032798	XAUUSD	M5	5185.46	5188.92	5191.39	5183.87	775
1772033098	XAUUSD	M5	5180.33	5185.59	5187.15	5174.10	837
1772033398	XAUUSD	M5	5181.68	5179.38	5182.93	5172.47	843
1772033698	XAUUSD	M5	5187.95	5181.46	5189.50	5181.18	751
1772033998	XAUUSD	M5	5191.00	5187.96	5193.07	5186.86	730
1772034298	XAUUSD	M5	5197.90	5191.00	5198.34	5186.76	761
1772034598	XAUUSD	M5	5195.48	5197.86	5198.00	5192.68	693
1772034898	XAUUSD	M5	5194.50	5195.33	5198.06	5193.32	681
1772035198	XAUUSD	M5	5194.37	5194.82	5198.45	5193.09	720
1772035498	XAUUSD	M5	5191.37	5194.36	5195.31	5190.48	637
1772035798	XAUUSD	M5	5192.52	5191.32	5195.83	5189.86	656
1772036098	XAUUSD	M5	5197.05	5192.62	5197.64	5191.81	572
1772036398	XAUUSD	M5	5205.29	5197.05	5205.75	5197.05	671
1772036698	XAUUSD	M5	5203.22	5205.26	5206.19	5201.19	630
1772036998	XAUUSD	M5	5206.56	5202.90	5206.68	5199.27	643
1772037298	XAUUSD	M5	5203.39	5206.58	5207.11	5202.52	659
1772037598	XAUUSD	M5	5207.51	5203.50	5207.54	5203.50	569
1772037898	XAUUSD	M5	5208.18	5207.45	5213.80	5206.78	755
1772038198	XAUUSD	M5	5211.95	5208.19	5212.49	5207.60	571
1772038498	XAUUSD	M5	5212.31	5211.94	5212.79	5210.16	571
1772038798	XAUUSD	M5	5210.09	5212.52	5212.66	5208.17	576
1772039098	XAUUSD	M5	5214.69	5210.14	5214.96	5207.95	586
1772039398	XAUUSD	M5	5215.17	5214.58	5217.63	5214.19	660
1772039698	XAUUSD	M5	5214.53	5215.29	5215.29	5212.12	624
