timestamp	symbol	timeframe	close	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8
1772024698	XAUUSD	M5	5188.33	5178.60	5161.89	5135.85		5193.35	5205.31		
1772024998	XAUUSD	M5	5187.20	5178.60	5161.89	5135.85		5193.35	5205.31		
1772025298	XAUUSD	M5	5187.00	5178.60	5161.89	5135.85		5193.35	5205.31		
1772025598	XAUUSD	M5	5191.13	5178.60	5161.89	5135.85		5193.35	5205.31		
1772025898	XAUUSD	M5	5188.07	5178.60	5161.89	5135.85		5193.35	5205.31		
1772026198	XAUUSD	M5	5188.16	5178.60	5161.89	5135.85		5193.35	5205.31		
1772026498	XAUUSD	M5	5189.61	5178.60	5161.89	5135.85		5193.35	5205.31		
1772026798	XAUUSD	M5	5186.84	5178.60	5161.89	5135.85		5193.35	5205.31		
1772027098	XAUUSD	M5	5186.59	5178.60	5161.89	5135.85		5193.35	5205.31		
1772027398	XAUUSD	M5	5186.07	5178.60	5161.89	5135.85		5193.35	5205.31		
1772027698	XAUUSD	M5	5185.23	5178.60	5161.89	5135.85		5193.35	5205.31		
1772027998	XAUUSD	M5	5187.18	5178.60	5161.89	5135.85		5193.35	5205.31		
1772028298	XAUUSD	M5	5189.99	5178.60	5161.89	5135.85		5193.35	5205.31		
1772028598	XAUUSD	M5	5185.44	5178.60	5161.89	5135.85		5193.35	5205.31		
1772028898	XAUUSD	M5	5182.68	5178.60	5161.89	5135.85		5193.35	5205.31		
1772029198	XAUUSD	M5	5181.49	5178.60	5161.89	5135.85		5193.35	5205.31		
1772029498	XAUUSD	M5	5177.91	5161.89	5135.85			5178.60	5193.35	5205.31	
1772029798	XAUUSD	M5	5174.14	5161.89	5135.85			5178.60	5193.35	5205.31	
1772030098	XAUUSD	M5	5159.73	5135.85				5161.89	5178.60	5193.35	5205.31
1772030398	XAUUSD	M5	5174.91	5161.89	5135.85			5178.60	5193.35	5205.31	
1772030698	XAUUSD	M5	5181.79	5178.60	5161.89	5135.85		5193.35	5205.31		
1772030998	XAUUSD	M5	5188.55	5178.60	5161.89	5135.85		5193.35	5205.31		
1772031298	XAUUSD	M5	5191.25	5178.60	5161.89	5135.85		5193.35	5205.31		
1772031598	XAUUSD	M5	5198.64	5193.35	5178.60	5161.89	5135.85	5205.31			
1772031898	XAUUSD	M5	5195.89	5193.35	5178.60	5161.89	5135.85	5205.31			
1772032198	XAUUSD	M5	5193.17	5178.60	5161.89	5135.85		5193.35	5205.31		
1772032498	XAUUSD	M5	5188.97	5178.60	5161.89	5135.85		5193.35	5205.31		
1772032798	XAUUSD	M5	5185.46	5178.60	5161.89	5135.85		5193.35	5205.31		
1772033098	XAUUSD	M5	5180.33	5178.60	5161.89	5135.85		5193.35	5205.31		
1772033398	XAUUSD	M5	5181.68	5178.60	5161.89	5135.85		5193.35	5205.31		
1772033698	XAUUSD	M5	5187.95	5178.60	5161.89	5135.85		5193.35	5205.31		
1772033998	XAUUSD	M5	5191.00	5178.60	5161.89	5135.85		5193.35	5205.31		
1772034298	XAUUSD	M5	5197.90	5193.35	5178.60	5161.89	5135.85	5205.31			
1772034598	XAUUSD	M5	5195.48	5193.35	5178.60	5161.89	5135.85	5205.31			
1772034898	XAUUSD	M5	5194.50	5193.35	5178.60	5161.89	5135.85	5205.31			
1772035198	XAUUSD	M5	5194.37	5193.35	5178.60	5161.89	5135.85	5205.31			
1772035498	XAUUSD	M5	5191.37	5178.60	5161.89	5135.85		5193.35	5205.31		
1772035798	XAUUSD	M5	5192.52	5178.60	5161.89	5135.85		5193.35	5205.31		
1772036098	XAUUSD	M5	5197.05	5193.35	5178.60	5161.89	5135.85	5205.31			
1772036398	XAUUSD	M5	5205.29	5193.35	5178.60	5161.89	5135.85	5205.31			
1772036698	XAUUSD	M5	5203.22	5193.35	5178.60	5161.89	5135.85	5205.31			
1772036998	XAUUSD	M5	5206.56	5205.31	5193.35	5178.60	5161.89				
1772037298	XAUUSD	M5	5203.39	5193.35	5178.60	5161.89	5135.85	5205.31			
1772037598	XAUUSD	M5	5207.51	5205.31	5193.35	5178.60	5161.89				
1772037898	XAUUSD	M5	5208.18	5205.31	5193.35	5178.60	5161.89				
1772038198	XAUUSD	M5	5211.95	5205.31	5193.35	5178.60	5161.89				
1772038498	XAUUSD	M5	5212.31	5205.31	5193.35	5178.60	5161.89				
1772038798	XAUUSD	M5	5210.09	5205.31	5193.35	5178.60	5161.89				
1772039098	XAUUSD	M5	5214.69	5205.31	5193.35	5178.60	5161.89				
1772039398	XAUUSD	M5	5215.17	5205.31	5193.35	5178.60	5161.89				
1772039698	XAUUSD	M5	5214.53	5205.31	5193.35	5178.60	5161.89				
1772039998	XAUUSD	M5	5213.27	5205.31	5193.35	5178.60	5161.89				
1772040298	XAUUSD	M5	5213.10	5205.31	5193.35	5178.60	5161.89				
1772040598	XAUUSD	M5	5211.85	5205.31	5193.35	5178.60	5161.89				
1772040898	XAUUSD	M5	5213.17	5205.31	5193.35	5178.60	5161.89				
1772041198	XAUUSD	M5	5208.33	5205.31	5193.35	5178.60	5161.89				
1772041498	XAUUSD	M5	5206.71	5205.31	5193.35	5178.60	5161.89				
1772041798	XAUUSD	M5	5206.32	5205.31	5193.35	5178.60	5161.89				
1772042098	XAUUSD	M5	5206.82	5205.31	5193.35	5178.60	5161.89				
1772042398	XAUUSD	M5	5207.40	5205.31	5193.35	5178.60	5161.89				
1772042698	XAUUSD	M5	5207.07	5205.31	5193.35	5178.60	5161.89				
1772042998	XAUUSD	M5	5206.89	5205.31	5193.35	5178.60	5161.89				
1772043298	XAUUSD	M5	5206.80	5205.31	5193.35	5178.60	5161.89				
1772043598	XAUUSD	M5	5206.77	5205.31	5193.35	5178.60	5161.89				
1772043898	XAUUSD	M5	5206.80	5205.31	5193.35	5178.60	5161.89				
1772044198	XAUUSD	M5	5206.80	5205.31	5193.35	5178.60	5161.89				
1772044498	XAUUSD	M5	5206.39	5205.31	5193.35	5178.60	5161.89				
1772044798	XAUUSD	M5	5205.13	5193.35	5178.60	5161.89	5135.85	5205.31			
1772045098	XAUUSD	M5	5200.95	5193.35	5178.60	5161.89	5135.85	5205.31			
1772045398	XAUUSD	M5	5202.58	5193.35	5178.60	5161.89	5135.85	5205.31			
1772045698	XAUUSD	M5	5202.12	5193.35	5178.60	5161.89	5135.85	5205.31			
1772045998	XAUUSD	M5	5200.91	5193.35	5178.60	5161.89	5135.85	5205.31			
1772046298	XAUUSD	M5	5194.29	5193.35	5178.60	5161.89	5135.85	5205.31			
1772046598	XAUUSD	M5	5207.04	5205.31	5193.35	5178.60	5161.89				
1772046898	XAUUSD	M5	5200.55	5193.35	5178.60	5161.89	5135.85	5205.31			
1772047198	XAUUSD	M5	5197.32	5193.35	5178.60	5161.89	5135.85	5205.31			
1772047498	XAUUSD	M5	5202.59	5193.35	5178.60	5161.89	5135.85	5205.31			
1772047798	XAUUSD	M5	5202.51	5193.35	5178.60	5161.89	5135.85	5205.31			
1772048098	XAUUSD	M5	5201.00	5193.35	5178.60	5161.89	5135.85	5205.31			
1772048398	XAUUSD	M5	5204.32	5193.35	5178.60	5161.89	5135.85	5205.31			
1772048698	XAUUSD	M5	5205.00	5193.35	5178.60	5161.89	5135.85	5205.31			
1772048998	XAUUSD	M5	5204.97	5193.35	5178.60	5161.89	5135.85	5205.31			
1772049298	XAUUSD	M5	5204.87	5193.35	5178.60	5161.89	5135.85	5205.31			
1772049598	XAUUSD	M5	5201.76	5193.35	5178.60	5161.89	5135.85	5205.31			
1772049898	XAUUSD	M5	5202.46	5193.35	5178.60	5161.89	5135.85	5205.31			
1772050198	XAUUSD	M5	5195.27	5193.35	5178.60	5161.89	5135.85	5205.31			
1772050498	XAUUSD	M5	5184.80	5178.60	5161.89	5135.85		5193.35	5205.31		
1772050798	XAUUSD	M5	5189.00	5178.60	5161.89	5135.85		5193.35	5205.31		
1772051098	XAUUSD	M5	5186.11	5178.60	5161.89	5135.85		5193.35	5205.31		
1772051398	XAUUSD	M5	5188.12	5178.60	5161.89	5135.85		5193.35	5205.31		
1772051698	XAUUSD	M5	5183.41	5178.60	5161.89	5135.85		5193.35	5205.31		
1772051998	XAUUSD	M5	5181.48	5178.60	5161.89	5135.85		5193.35	5205.31		
