datetime	timestamp	symbol	timeframe	close	open	high	low	volume
2026-02-25 10:34:59	1772015699	XAUUSD	M5	5179.02	5173.41	5179.06	5173.41	439
2026-02-25 10:39:59	1772015999	XAUUSD	M5	5176.86	5179.02	5181.03	5176.09	389
2026-02-25 10:44:59	1772016299	XAUUSD	M5	5175.4	5176.84	5177.29	5174.71	278
2026-02-25 10:49:59	1772016599	XAUUSD	M5	5174.48	5175.4	5175.82	5172.52	328
2026-02-25 10:54:59	1772016899	XAUUSD	M5	5175.16	5174.52	5176.36	5173.56	356
2026-02-25 10:59:59	1772017199	XAUUSD	M5	5171.44	5175.12	5175.27	5171.39	404
2026-02-25 11:04:59	1772017499	XAUUSD	M5	5169.77	5171.37	5175.91	5169.45	454
2026-02-25 11:09:59	1772017799	XAUUSD	M5	5163.64	5169.77	5170.17	5162.94	590
2026-02-25 11:14:59	1772018099	XAUUSD	M5	5159.68	5163.65	5165.56	5155.4	663
2026-02-25 11:19:59	1772018399	XAUUSD	M5	5165.08	5159.68	5165.54	5158.16	507
2026-02-25 11:24:59	1772018699	XAUUSD	M5	5168.85	5165.08	5169.48	5164.54	392
2026-02-25 11:29:59	1772018999	XAUUSD	M5	5169.86	5168.85	5172.51	5167.81	395
2026-02-25 11:34:59	1772019299	XAUUSD	M5	5167.67	5169.73	5170.56	5167.56	307
2026-02-25 11:39:59	1772019599	XAUUSD	M5	5173.18	5167.46	5173.98	5166.75	387
2026-02-25 11:44:59	1772019899	XAUUSD	M5	5173.3	5173.18	5174.58	5172.5	341
2026-02-25 11:49:59	1772020199	XAUUSD	M5	5173.62	5173.34	5176.25	5172.28	380
2026-02-25 11:54:59	1772020499	XAUUSD	M5	5181.67	5173.62	5182.67	5173.62	458
2026-02-25 11:59:59	1772020799	XAUUSD	M5	5179.73	5181.56	5182.87	5178.2	470
2026-02-25 12:04:59	1772021099	XAUUSD	M5	5181.07	5179.78	5181.7	5179.78	389
2026-02-25 12:09:59	1772021399	XAUUSD	M5	5182.11	5181.06	5183.1	5180.81	447
2026-02-25 12:14:59	1772021699	XAUUSD	M5	5183.84	5182.24	5185.85	5181.92	420
2026-02-25 12:19:59	1772021999	XAUUSD	M5	5186.84	5183.84	5187.01	5183.36	384
2026-02-25 12:24:59	1772022299	XAUUSD	M5	5183.54	5186.84	5187.49	5183.37	413
2026-02-25 12:29:59	1772022599	XAUUSD	M5	5179.74	5183.51	5184.89	5179.35	453
2026-02-25 12:34:59	1772022899	XAUUSD	M5	5183.98	5179.74	5184	5177.43	473
2026-02-25 12:39:59	1772023199	XAUUSD	M5	5184.73	5183.98	5186.31	5182.71	451
2026-02-25 12:44:59	1772023499	XAUUSD	M5	5181.7	5184.79	5185.27	5181.7	327
2026-02-25 12:49:59	1772023799	XAUUSD	M5	5181.88	5181.75	5184.46	5181.13	324
2026-02-25 12:54:59	1772024099	XAUUSD	M5	5182.65	5181.93	5183.15	5178.78	470
2026-02-25 12:59:59	1772024399	XAUUSD	M5	5185.5	5182.8	5185.77	5181.12	758
2026-02-25 13:04:59	1772024699	XAUUSD	M5	5188.33	5185.53	5189.76	5184.73	570
2026-02-25 13:09:59	1772024999	XAUUSD	M5	5187.2	5188.44	5189.22	5185.5	567
2026-02-25 13:14:59	1772025299	XAUUSD	M5	5187	5187.22	5189.54	5185.97	574
2026-02-25 13:19:59	1772025599	XAUUSD	M5	5191.13	5186.81	5191.47	5186.14	583
2026-02-25 13:24:59	1772025899	XAUUSD	M5	5188.07	5191.14	5191.36	5186.93	547
2026-02-25 13:29:59	1772026199	XAUUSD	M5	5188.16	5188.07	5190.35	5186.62	516
2026-02-25 13:34:59	1772026499	XAUUSD	M5	5189.61	5188.16	5190.35	5187.73	524
2026-02-25 13:39:59	1772026799	XAUUSD	M5	5186.84	5189.93	5191.33	5182.03	660
2026-02-25 13:44:59	1772027099	XAUUSD	M5	5186.59	5187.12	5191.12	5185.65	585
2026-02-25 13:49:59	1772027399	XAUUSD	M5	5186.07	5187.03	5187.42	5184.3	628
2026-02-25 13:54:59	1772027699	XAUUSD	M5	5185.23	5186.04	5188.5	5184.76	572
2026-02-25 13:59:59	1772027999	XAUUSD	M5	5187.18	5185.22	5187.34	5183.76	641
2026-02-25 14:04:59	1772028299	XAUUSD	M5	5189.99	5187.18	5191.07	5186.8	582
2026-02-25 14:09:59	1772028599	XAUUSD	M5	5185.44	5190.08	5190.31	5183.69	596
2026-02-25 14:14:59	1772028899	XAUUSD	M5	5182.68	5185.41	5185.98	5182.03	592
2026-02-25 14:19:59	1772029199	XAUUSD	M5	5181.49	5182.68	5185.32	5179.91	604
2026-02-25 14:24:59	1772029499	XAUUSD	M5	5177.91	5181.6	5182.56	5174.89	657
2026-02-25 14:29:59	1772029799	XAUUSD	M5	5174.14	5177.81	5181.14	5172.2	902
2026-02-25 14:34:59	1772030099	XAUUSD	M5	5159.73	5174.16	5175.86	5158.94	925
2026-02-25 14:39:59	1772030399	XAUUSD	M5	5174.91	5160.17	5176.28	5159.65	902
2026-02-25 14:44:59	1772030699	XAUUSD	M5	5181.79	5174.98	5181.86	5174.68	804
2026-02-25 14:49:59	1772030999	XAUUSD	M5	5188.55	5181.79	5189.06	5179.9	821
2026-02-25 14:54:59	1772031299	XAUUSD	M5	5191.25	5188.57	5193.27	5187.84	743
2026-02-25 14:59:59	1772031599	XAUUSD	M5	5198.64	5191.24	5201.38	5190.66	829
