timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1744153200	XAUUSD	M5	5192.82	5192.84	5193.54	5192.02	5192.91	1	0.06	-1.05857	1
1744153500	XAUUSD	M5	5193.25	5192.76	5195.22	5190.54	5192.93	1	0.16	-1.02754	2
1744153800	XAUUSD	M5	5192.69	5192.8	5193.56	5192.05	5192.72	-1	0.08	-1.05956	-1
1744154100	XAUUSD	M5	5192.61	5193.74	5193.74	5190.49	5191.86	-1	1.88	-0.37189	-2
1744154400	XAUUSD	M5	5191.38	5194.71	5194.8	5190.66	5192.78	-1	1.94	-0.35063	-3
1744154700	XAUUSD	M5	5194.26	5194.54	5195.8	5194.11	5194.89	1	0.36	-0.95659	1
1744155000	XAUUSD	M5	5195.4	5194.06	5195.57	5194.06	5195.01	1	0.95	-0.73049	2
1744155300	XAUUSD	M5	5194.86	5193.93	5195.01	5192.8	5194.18	1	0.25	-1.00256	3
1744155600	XAUUSD	M5	5194.13	5194.28	5194.75	5191.7	5193.58	-1	0.7	-0.83226	-1
1744155900	XAUUSD	M5	5193.75	5194.95	5195.37	5191.54	5193.62	-1	1.32	-0.59191	-2
1744156200	XAUUSD	M5	5193.83	5195.04	5197.1	5191.65	5194.86	-1	0.18	-1.03493	-3
1744156500	XAUUSD	M5	5196.8	5193.42	5199.09	5193.42	5196.65	1	3.23	0.14152	1
1744156800	XAUUSD	M5	5195.76	5191.91	5196.53	5191.91	5194.93	1	3.02	0.06164	2
1744157100	XAUUSD	M5	5194.08	5190.18	5195.47	5190.18	5193.64	1	3.46	0.23308	3
1744157400	XAUUSD	M5	5192.63	5188.52	5192.87	5188.52	5191.83	1	3.31	0.17177	4
1744157700	XAUUSD	M5	5191.34	5187.24	5191.52	5187.24	5189.81	1	2.56	-0.11505	5
1744158000	XAUUSD	M5	5188.61	5187.57	5188.63	5184.24	5186.91	-1	0.66	-0.8498	-1
1744158300	XAUUSD	M5	5186.18	5188.24	5188.75	5185.95	5186.91	-1	1.33	-0.59313	-2
1744158600	XAUUSD	M5	5186.58	5188.94	5188.94	5186.17	5187.54	-1	1.39	-0.57077	-3
1744158900	XAUUSD	M5	5188.56	5189.23	5189.77	5187.9	5188.65	-1	0.58	-0.8837	-4
1744159200	XAUUSD	M5	5188.35	5188.87	5191.25	5187.78	5189.58	1	0.71	-0.83432	1
1744159500	XAUUSD	M5	5191.04	5187.53	5191.72	5187.53	5190.21	1	2.67	-0.08069	2
1744159800	XAUUSD	M5	5190.19	5185.87	5193.82	5185.54	5189.2	1	3.33	0.17431	3
1744160100	XAUUSD	M5	5187.26	5185.28	5188.14	5184.36	5186.45	1	1.17	-0.65643	4
1744160400	XAUUSD	M5	5185.97	5184.24	5187.53	5184.24	5186.32	1	2.07	-0.31492	5
1744160700	XAUUSD	M5	5187.44	5182.88	5187.61	5182.88	5185.6	1	2.72	-0.07114	6
1744161000	XAUUSD	M5	5184.34	5180.97	5186.34	5180.97	5184.8	1	3.83	0.35599	7
1744161300	XAUUSD	M5	5184.69	5179.2	5184.77	5179.2	5182.74	1	3.55	0.24821	8
1744161600	XAUUSD	M5	5180.78	5179.35	5183.21	5176.09	5179.04	-1	0.31	-0.9821	-1
1744161900	XAUUSD	M5	5176.09	5180.94	5180.94	5174.34	5177.77	-1	3.17	0.10877	-2
1744162200	XAUUSD	M5	5180.52	5182.34	5184.17	5174.73	5179.53	-1	2.8	-0.02862	-3
1744162500	XAUUSD	M5	5178.87	5184.3	5184.3	5178.12	5180.38	-1	3.92	0.39805	-4
1744162800	XAUUSD	M5	5180.79	5186.17	5186.17	5180.67	5182.42	-1	3.75	0.33148	-5
1744163100	XAUUSD	M5	5183.44	5186.75	5189.35	5181.35	5185.6	-1	1.15	-0.65841	-6
1744163400	XAUUSD	M5	5188.25	5187.69	5190.04	5181.8	5185.81	-1	1.88	-0.38741	-7
1744163700	XAUUSD	M5	5183.06	5189.51	5190.97	5182.2	5185.87	-1	3.63	0.24367	-8
1744164000	XAUUSD	M5	5187.26	5190.89	5190.89	5184.77	5188.12	-1	2.78	-0.07747	-9
1744164300	XAUUSD	M5	5190.17	5190.5	5195.51	5187.74	5191.28	1	0.78	-0.78122	1
1744164600	XAUUSD	M5	5191.71	5189.17	5194.08	5189.17	5191.84	1	2.66	-0.13364	2
1744164900	XAUUSD	M5	5191.16	5188.42	5193.52	5185.1	5189.93	1	1.51	-0.535	3
1744165200	XAUUSD	M5	5189.93	5187.14	5192.2	5187.08	5189.69	1	2.55	-0.17584	4
1744165500	XAUUSD	M5	5189.54	5186.12	5192.62	5185.14	5188.16	1	2.04	-0.35149	5
1744165800	XAUUSD	M5	5185.42	5184.83	5191.43	5184.83	5187.42	1	2.59	-0.16243	6
1744166100	XAUUSD	M5	5187.99	5185.84	5188.26	5178.56	5183.82	-1	2.02	-0.36584	-1
1744166400	XAUUSD	M5	5180.54	5188.5	5188.5	5179.01	5183.17	-1	5.34	0.7806	-2
1744166700	XAUUSD	M5	5186.05	5188.51	5195.02	5183.52	5188.5	-1	0.01	-1.05827	-3
1744167000	XAUUSD	M5	5189.46	5187.74	5192.5	5187.47	5189.27	1	1.53	-0.534	1
1744167300	XAUUSD	M5	5187.53	5189.68	5189.68	5182.77	5185.8	-1	3.88	0.28227	-1
1744167600	XAUUSD	M5	5183.93	5190.17	5194.96	5182.96	5189.2	-1	0.96	-0.72743	-2
1744167900	XAUUSD	M5	5194.75	5187.89	5198.49	5187.89	5192.44	1	4.55	0.51127	1
1744168200	XAUUSD	M5	5188.31	5186.7	5192.15	5186.13	5189.08	1	2.38	-0.24233	2
1744168500	XAUUSD	M5	5189.7	5185.49	5191.1	5184.97	5187.91	1	2.42	-0.22555	3
1744168800	XAUUSD	M5	5185.97	5183.57	5190.06	5183.57	5187.41	1	3.84	0.2588	4
