timestamp	symbol	timeframe	close	ssa	ema_ssa	ssa_high	ssa_low	SSA Crossing
1775134802	XAUUSD	M15	4587.61	4587.04638	4587.04638	4599.98265	4572.44291	0
1775135702	XAUUSD	M15	4597.48	4601.53698	4594.29168	4610.38440	4582.02159	1
1775136602	XAUUSD	M15	4602.13	4619.08362	4606.68765	4627.26871	4596.20047	0
1775137502	XAUUSD	M15	4645.33	4638.66207	4622.67486	4646.73841	4613.19238	0
1775138402	XAUUSD	M15	4647.77	4654.68388	4638.67937	4663.13510	4630.47085	0
1775139302	XAUUSD	M15	4665.41	4667.26349	4652.97143	4675.99584	4644.82294	0
1775140202	XAUUSD	M15	4693.91	4675.08467	4664.02805	4684.16453	4655.29583	0
1775141102	XAUUSD	M15	4681.32	4677.18313	4670.60559	4686.86262	4661.44437	0
1775142002	XAUUSD	M15	4672.36	4675.70128	4673.15343	4685.65841	4663.34802	0
1775142902	XAUUSD	M15	4672.50	4672.29459	4672.72401	4682.30582	4662.35093	1
1775143802	XAUUSD	M15	4666.00	4667.96341	4670.34371	4677.95232	4659.89973	0
1775144702	XAUUSD	M15	4661.06	4663.69669	4667.02020	4673.59063	4656.76869	0
1775145602	XAUUSD	M15	4654.93	4660.15725	4663.58873	4669.95956	4653.95178	0
1775146502	XAUUSD	M15	4650.75	4657.61269	4660.60071	4667.09049	4651.87996	0
1775147402	XAUUSD	M15	4658.90	4656.01438	4658.30754	4665.19198	4650.64036	0
1775148302	XAUUSD	M15	4659.31	4654.87625	4656.59189	4663.63549	4649.79860	0
1775149202	XAUUSD	M15	4663.98	4654.12213	4655.35701	4662.31674	4649.03185	0
1775150102	XAUUSD	M15	4651.84	4653.70474	4654.53088	4661.33380	4648.36053	0
1775151002	XAUUSD	M15	4658.13	4654.01107	4654.27097	4660.87637	4648.03577	0
1775151902	XAUUSD	M15	4648.81	4654.88386	4654.57742	4661.17888	4648.37487	1
1775152802	XAUUSD	M15	4653.49	4656.45972	4655.51857	4662.18925	4649.58827	0
1775153702	XAUUSD	M15	4651.44	4658.56868	4657.04362	4663.87379	4651.77712	0
1775154602	XAUUSD	M15	4662.73	4661.17419	4659.10891	4666.19849	4654.88250	0
1775155502	XAUUSD	M15	4668.54	4663.97645	4661.54268	4668.90745	4658.67927	0
1775156402	XAUUSD	M15	4674.50	4666.72048	4664.13158	4671.66777	4662.60238	0
1775157302	XAUUSD	M15	4665.04	4669.08601	4666.60880	4674.08525	4666.02299	0
1775158202	XAUUSD	M15	4665.91	4670.93336	4668.77108	4675.96382	4668.40956	0
1775159102	XAUUSD	M15	4671.99	4671.88431	4670.32770	4677.14771	4669.23841	0
1775160002	XAUUSD	M15	4674.03	4671.48539	4670.90654	4677.21286	4668.02561	0
1775160902	XAUUSD	M15	4667.90	4669.46019	4670.18336	4675.95362	4664.51766	1
1775161802	XAUUSD	M15	4669.05	4665.56866	4667.87601	4673.15909	4658.65420	0
1775162702	XAUUSD	M15	4676.09	4659.91691	4663.89646	4668.95331	4650.75960	0
1775426402	XAUUSD	M15	4629.97	4652.61021	4658.25333	4663.42271	4641.49847	0
1775427302	XAUUSD	M15	4635.96	4645.37346	4651.81340	4657.19840	4632.91622	0
1775428202	XAUUSD	M15	4642.72	4638.31254	4645.06297	4651.14103	4625.15834	0
